,Track,Session,Time_Of_Day,Rain,Air_Temperature,Track_Temperature,Grip_Level,Car,Fuel,Front_Brake_Compound,Rear_Brake_Compound,Brake_Bias,TC,TC_Cut,ABS,Engine_Map,Tyres,Tyre_Temperature_Front_Left,Tyre_Temperature_Front_Right,Tyre_Temperature_Rear_Left,Tyre_Temperature_Rear_Right,Tyre_Pressure_Front_Left,Tyre_Pressure_Front_Right,Tyre_Pressure_Rear_Left,Tyre_Pressure_Rear_Right,Lap,Last_Lap_Time,Sector,Last_Sector_Time
0,Imola,7,32400,0,27.03878784,27.63708115,1,amr_v8_vantage_gt3,61.38545227,1,1,0.70599997,2,2,4,0,1,69.67450714,71.6723938,71.65791321,72.80197906,25.96875381,25.66055107,25.95916176,25.66899109,0,NULL,0,0
1,Imola,7,32422.89453,0,27.04722404,27.66197205,1,amr_v8_vantage_gt3,60.70379639,1,1,0.70599997,2,2,4,0,1,72.28718567,76.24129486,74.73862457,77.11652374,26.22010994,26.09970474,26.2554493,26.08372688,0,NULL,1,22902
2,Imola,7,32457.82813,0,27.0600853,27.6999321,1,amr_v8_vantage_gt3,59.78728104,1,1,0.70599997,2,2,4,0,1,77.41311646,85.0620575,79.46640778,83.3487854,26.71302414,26.94732094,26.71014023,26.68288231,0,NULL,2,57840
3,Imola,7,32508.125,0,27.07860947,27.75462914,1,amr_v8_vantage_gt3,58.44332886,1,1,0.70599997,2,2,4,0,1,83.67206573,90.22051239,84.86238861,87.42865753,27.31506729,27.44371796,27.2293396,27.07570076,0,NULL,0,0
4,Imola,7,32530.82813,0,27.08696747,27.77931976,1,amr_v8_vantage_gt3,57.76060867,1,1,0.70599997,2,2,4,0,1,83.0782547,90.21161652,85.08381653,88.41951752,27.25859642,27.44340324,27.25112915,27.17136383,1,108127,1,22700
5,Imola,7,32565.25781,0,27.099617,27.81669426,1,amr_v8_vantage_gt3,56.89852905,1,1,0.70599997,2,2,4,0,1,83.24594116,93.12275696,84.74621582,90.28385162,27.27550507,27.72367859,27.21953201,27.35114288,1,108127,2,57132
6,Imola,7,32615.30273,0,27.11801147,27.87107086,1,amr_v8_vantage_gt3,55.51659775,1,1,0.70599997,2,2,4,0,1,85.28967285,92.92205048,86.56932068,90.93125916,27.47287941,27.70546341,27.39572716,27.41447067,1,108127,0,0
7,Imola,7,32638.12695,0,27.12637901,27.8958168,1,amr_v8_vantage_gt3,54.83974075,1,1,0.70599997,2,2,4,0,1,84.28177643,91.97800446,86.68210602,91.14179993,27.37665749,27.61537743,27.40708923,27.43522072,2,107175,1,22827
8,Imola,7,32674.25,0,27.1396389,27.93503952,1,amr_v8_vantage_gt3,53.93495941,1,1,0.70599997,2,2,4,0,1,83.92085266,93.75036621,86.55038452,93.15014648,27.34285736,27.78636742,27.39529419,27.6288681,2,107175,2,58947
9,Imola,7,32723.91406,0,27.15783691,27.9888916,1,amr_v8_vantage_gt3,52.57987213,1,1,0.70599997,2,2,4,0,1,86.35668182,94.11328125,87.93242645,92.36736298,27.57786369,27.82237244,27.52913475,27.55488777,2,107175,0,0
10,Imola,7,32746.43555,0,27.16610146,28.01335907,1,amr_v8_vantage_gt3,51.88813019,1,1,0.70599997,2,2,4,0,1,84.94548035,93.17445374,87.31071472,91.83151245,27.44291496,27.73277283,27.46997833,27.50397301,3,108622,1,22512
11,Imola,7,32780.63672,0,27.17860413,28.0503788,1,amr_v8_vantage_gt3,51.05681229,1,1,0.70599997,2,2,4,0,1,84.36808777,95.42883301,85.82590485,91.72992706,27.38827515,27.94999313,27.328228,27.49502373,3,108622,2,56722
12,Imola,7,32832.68359,0,27.19763756,28.10676956,1,amr_v8_vantage_gt3,49.74211884,1,1,0.70599997,2,2,4,0,1,86.18565369,95.65880585,87.05641937,91.51716614,27.56398964,27.93021774,27.44758415,27.46457291,3,108622,0,0
13,Imola,7,32856.03906,0,27.20617867,28.13208389,1,amr_v8_vantage_gt3,49.04308319,1,1,0.70599997,2,2,4,0,1,85.31695557,94.00324249,87.59396362,91.97010803,27.48114204,27.77183151,27.49973488,27.50860214,4,108762,1,23352
14,Imola,7,32890.27344,0,27.21867371,28.1691227,1,amr_v8_vantage_gt3,48.18362427,1,1,0.70599997,2,2,4,0,1,84.77088165,94.6333313,86.98111725,92.35637665,27.42951965,27.83312225,27.4417038,27.5464859,4,108762,2,57595
15,Imola,7,32940.80859,0,27.23711395,28.22381592,1,amr_v8_vantage_gt3,46.85126877,1,1,0.70599997,2,2,4,0,1,87.24769592,95.12930298,88.28570557,91.36895752,27.66847229,27.88191223,27.56812286,27.45287132,4,108762,0,0
16,Imola,7,32963.51172,0,27.24539566,28.2483902,1,amr_v8_vantage_gt3,46.1435585,1,1,0.70599997,2,2,4,0,1,85.99051666,93.90054321,87.68881989,91.2564621,27.54831314,27.7644825,27.51135254,27.44260216,5,108120,1,22712
17,Imola,7,32999.17188,0,27.25838661,28.28694344,1,amr_v8_vantage_gt3,45.31618118,1,1,0.70599997,2,2,4,0,1,85.35157013,95.7492981,86.12097931,91.62654114,27.48780632,27.9427948,27.36166382,27.47896004,5,108120,2,58362
18,Imola,7,33049.24609,0,27.27659798,28.34101486,1,amr_v8_vantage_gt3,43.96559143,1,1,0.70599997,2,2,4,0,1,87.27373505,97.30095673,87.36493683,90.35173035,27.67350006,28.0929184,27.48225594,27.35774612,5,108120,0,0
